index;question
0;Вы способны уделять внимание деталям
1;Вы обладаете терпением
2;Вы обладаете коммуникативными навыками
3;Вы способны работать в команде
4;У вас хорошая стрессоустойчивость
5;Вы проявляете интерес к работе с данными
6;Вы готовы к постоянному обучению и развитию
7;Вы интересуетесь бизнесом
8;Вы обладаете навыками управления проектом
9;Вы - ответственный человек
10;Вы - организованный человек
11;Вы проявляете интерес к компьютерной безопасности
12;Вы обладаете способностью критического анализа
13;Вы можете долго поддерживать концентрацию
14;Вы - решительный человек
15;Вы знакомы с системными языками программирования (Rust, C, C++...)
16;Вы интересуетесь устройством компьютерных игр
17;Вы проявляете интерес к математике
18;Вы заинтересованы в улучшении пользовательского опыта работы ПО
19;Вы способны визуализировать собственные идеи
20;Вы способны следить за тенденциями
21;Вы проявляете интерес к участию в разработке и обновлении веб-сайтов
22;Вы способны выделять ключевые слова в веб-сайте
23;Вы способны производить математическое моделирование
24;Вы проявляете интерес к математическим разработкам и проведению исследований
25;Вы проявляете интерес к автоматизации процессов разработки ПО
26;Вы знакомы с языками мобильной разработки (Java, Kotlin, Swift...)
27;Вы умеете упрощать сложную информацию
28;Вы способны осуществлять корректуру и редактирование технических документов
29;Вы умеете работать с системным ПО
30;Вы проявляете интерес к VR-технологиям
31;Вы знакомы с языками веб-разработки (Javascript, HTML, CSS...)
32;Вы способны проводить инцедентный менеджмент
33;Вы способны проводить анализ качества ПО
34;Вы проявляете интерес к хакерству
35;Вы проявляете интерес к искуственному интелекту и машинному обучению
36;Вы способны оценивать и управлять рисками
37;Вы проявляете интерес к блокчейн-технологиям
38;Вы проявляете интерес к низкоуровневой разработке
39;Вы проявляете интерес к программированию физических устройств (микроконтроллеров, периферии и т.п.)
